"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08","WT09"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-09-18","7.83",,"0.00","0.0","0.0","60","70","50","  200","  180","15.0","18.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-09-19","10.29",,"0.00","0.0","0.0","64","75","54","  190","  190","16.1","19.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-09-20","8.28",,"0.00","0.0","0.0","66","76","56","  170","  180","16.1","19.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-09-21","11.86",,"0.33","0.0","0.0","67","75","57","  190","  180","28.0","35.1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-09-22","14.76",,"1.16","0.0","0.0","67","72","55","  320","  320","25.1","30.0","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-09-23","11.41",,"0.00","0.0","0.0","59","68","50","  330","  330","18.1","25.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-09-24","8.95",,"0.00","0.0","0.0","59","75","48","  350","  270","15.0","21.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-09-25","6.49",,"0.00","0.0","0.0","63","72","51","  210","  230","14.1","17.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-09-26","6.93",,"0.00","0.0","0.0","62","70","54","  100","  110","15.0","17.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-09-27","7.38",,"0.00","0.0","0.0","61","69","52","   40","   50","14.1","16.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-09-28","6.49",,"0.00","0.0","0.0","64","74","56","   20","   40","15.0","21.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-09-29","6.26",,"0.00","0.0","0.0","62","72","54","  160","   90","13.0","17.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-09-30","6.49",,"0.00","0.0","0.0","61","72","52","  190","  190","13.0","15.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-10-01","8.05",,"0.00","0.0","0.0","67","81","58","  230","  240","17.0","19.9",,,,,,,
