"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08","WT09"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-11-28","8.50",,"0.00","0.0","0.0","45","52","37","  190","  200","17.0","21.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-11-29","14.76",,"1.42","0.0","0.0","55","60","52","  180","  170","30.0","38.9","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-11-30","9.17",,"0.48","0.0","0.0","56","59","51","   80","  100","29.1","35.1","    1","    1",,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-12-01","17.22",,"0.03","0.0","0.0","55","57","44","  270","  300","29.1","36.0","    1","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-12-02","18.34",,"0.00","0.0","0.0","47","53","41","  270","  270","25.9","33.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-12-03","19.01",,"0.00","0.0","0.0","46","50","42","  310","  320","31.1","40.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-12-04","11.41",,"0.00","0.0","0.0","44","48","39","  330","  330","19.9","25.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-12-05","10.96",,"0.22","0.0","0.0","44","52","40","  300","  290","23.0","27.1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-12-06","8.95",,"0.37","0.0","0.0","43","47","37","   50","   50","19.9","23.0","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-12-07","7.38",,"0.07","0.0","0.0","44","47","41","   50","   50","18.1","21.9","    1",,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-12-08","12.75",,"0.00","0.0","0.0","43","45","35","  260","  260","28.0","35.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-12-09","20.13",,"0.00","0.0","0.0","37","43","31","  300","  290","36.0","44.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-12-10","12.30",,"0.00","0.0","0.0","33","39","30","  260","  300","18.1","23.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-12-11","6.04",,"0.02","0.3","0.0","33","36","28","  200","  200","15.0","18.1",,,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-12-12","11.86",,"0.60","0.0","0.0","42","48","34","  190","  200","23.0","27.1","    1",,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-12-13","8.50",,"0.00","0.0","0.0","41","44","37","  320","  320","17.0","23.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-12-14","12.53",,"0.00","0.0","0.0","41","45","35","  270","  330","21.0","27.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-12-15","23.04",,"0.00","0.0","0.0","30","36","21","  310","  310","40.0","50.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-12-16","13.65",,"0.00","0.0","0.0","22","29","19","  270","  270","29.1","36.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-12-17","8.50",,"0.74","3.0","2.0","31","40","27","  240","  240","17.0","19.0","    1","    1",,"    1","    1","    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-12-18","16.11",,"0.05","0.0","0.0","47","60","33","  310","  300","38.0","48.1","    1","    1","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-12-19","12.53",,"0.00","0.0","0.0","31","33","26","  330","  310","21.9","28.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-12-20","7.61",,"0.00","0.0","0.0","27","35","20","  240","  240","19.9","23.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-12-21","9.17",,"0.00","0.0","0.0","35","41","30","  250","  260","17.0","21.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-12-22","13.42",,"0.00","0.0","0.0","42","51","34","  310","  290","29.1","38.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-12-23","12.08",,"0.00","0.0","0.0","43","48","38","  330","  330","23.0","29.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-12-24","10.29",,"0.60","0.0","0.0","42","47","39","  320","  260","16.1","19.0","    1",,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-12-25","10.51",,"0.00","0.0","0.0","45","52","36","  330","  330","17.0","21.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-12-26","9.62",,"0.00","0.0","0.0","39","49","31","  160","  170","18.1","23.0","    1","    1",,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-12-27","14.54",,"0.00","0.0","0.0","54","62","41","  260","  260","23.9","30.0","    1",,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-12-28","12.97",,"0.00","0.0","0.0","43","43","32","  320","  320","23.9","28.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-12-29","12.08",,"0.36","0.0","0.0","39","48","28","  300","  300","23.9","30.0","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-12-30","17.00",,"0.00","0.0","0.0","39","43","35","  270","  270","29.1","36.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2016-12-31","18.57",,"0.00","0.0","0.0","38","45","33","  200","  190","38.0","46.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2017-01-01","9.84",,"0.00","0.0","0.0","46","52","34","  290","  270","21.0","27.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2017-01-02","10.07",,"0.31","0.0","0.0","40","43","34","   50","   60","16.1","19.0","    1",,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2017-01-03","13.42",,"0.46","0.0","0.0","43","46","41","   60","   50","21.0","25.9","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2017-01-04","17.67",,"0.00","0.0","0.0","46","55","35","  290","  270","29.1","40.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2017-01-05","17.67",,"0.00","0.0","0.0","34","35","28","  260","  280","31.1","36.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2017-01-06","8.72",,"0.03","1.1","1.2","32","36","27","  330","  310","17.0","25.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2017-01-07","16.11",,"0.22","8.2","0.0","25","27","21","  340","  350","29.1","35.1","    1",,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2017-01-08","18.34",,"0.00","0.0","7.9","21","26","18","  320","  310","29.1","35.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2017-01-09","11.18",,"0.00","0.0","7.1","20","24","13","  240","  300","21.0","25.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2017-01-10","7.83",,"0.00","0.0","5.9","27","47","20","  170","  180","25.1","30.0",,,,,,,
